sampleID	FeT_darwin_clim
S0001	7.755153316666666e-4
S0002	8.574507658333333e-4
S0003	9.311333658333334e-4
S0004	9.579356575e-4
S0005	9.892909883333332e-4
S0006	0.0010116462333333333
S0008	7.7144051e-4
S0009	8.65137845e-4
S0010	9.479155216666667e-4
S0011	9.72783555e-4
S0012	9.961797666666666e-4
S0013	0.0010052177583333333
S0015	9.727502466666667e-4
S0016	9.483014849999999e-4
S0017	9.441170616666667e-4
S0018	9.575246741666667e-4
S0019	9.852195416666667e-4
S0020	9.922304333333334e-4
S0021	9.59979525e-4
S0022	9.444171358333333e-4
S0023	9.504681041666667e-4
S0024	9.686304816666667e-4
S0025	9.834468525e-4
S0026	9.893226641666667e-4
S0027	9.864432166666666e-4
S0028	9.564942316666667e-4
S0029	9.449906641666667e-4
S0030	9.513622466666667e-4
S0031	9.830176666666666e-4
S0032	9.969215416666666e-4
S0033	0.0010525050416666667
S0034	0.0010321330666666667
S0035	0.0010061208666666667
S0036	8.61476745e-4
S0037	9.435752758333334e-4
S0039	0.0010485219
S0040	9.558256525e-4
S0041	8.663395133333333e-4
S0042	8.412004391666666e-4
S0043	9.105943591666667e-4
S0044	0.001052506325
S0045	0.001045937625
S0046	0.0010340409916666667
S0047	9.317200408333333e-4
S0048	9.27032535e-4
S0049	0.0010200442166666667
S0050	0.0010079835833333333
S0051	9.867568583333333e-4
S0052	9.774042025e-4
S0053	9.77004475e-4
S0054	9.84031675e-4
S0055	9.99805075e-4
S0057	0.001051874475
S0058	0.0010480128666666667
S0059	0.00104592515
S0060	0.0010230226583333333
S0061	9.897579416666667e-4
S0062	0.0010147995166666667
S0063	0.0010334090083333335
S0064	9.907095583333333e-4
S0065	9.513718866666666e-4
S0066	9.514586791666667e-4
S0067	9.704291333333334e-4
S0068	9.896844916666666e-4
S0069	0.0010046866499999999
S0070	0.0010090339916666666
S0071	0.0010142643416666667
S0072	0.0010519974333333335
S0073	0.0010481385416666667
S0074	0.0010433711333333333
S0075	0.00100344315
S0076	0.00101398025
S0077	0.0010347573916666666
S0078	0.0010417327833333334
S0079	0.0010417327833333334
S0080	0.0010417327833333334
S0081	0.0010417327833333334
S0082	9.933113891666668e-4
S0083	9.741656741666666e-4
S0084	9.694371208333333e-4
S0085	9.624467758333333e-4
S0086	9.780891425e-4
S0087	9.966311666666666e-4
S0088	0.0010074223333333334
S0089	0.0010074223333333334
S0090	0.0010502649
S0091	0.0010431875333333333
S0092	0.0010343423416666667
S0093	9.980240441666668e-4
S0094	9.574313716666666e-4
