sampleID	lat	lon	depth	sample_category
tara_S0244	34.25	-49.75	299.93	tara
tara_S0190	34.25	-49.75	5	tara
tara_S0188	34.25	-56.75	257.47	tara
S0027	34.25	-55.25	5	geotraces
S0028	34.25	-55.25	45	geotraces
S0029	34.25	-55.25	75.005	geotraces
S0030	34.25	-55.25	105.31	geotraces
S0031	34.25	-55.25	154.47	geotraces
S0032	34.25	-55.25	194.735	geotraces
tara_S0243	34.75	-71.25	299.93	tara
tara_S0187	34.75	-71.25	5	tara
tara_S0232	35.25	-127.75	299.93	tara
tara_S0174	35.25	-127.75	5	tara
tara_S0173	35.25	-127.75	45	tara
S0049	35.25	-66.75	35	geotraces
S0050	35.25	-66.75	65	geotraces
S0051	35.25	-66.75	115.87	geotraces
S0052	35.25	-66.75	139.74	geotraces
S0053	35.25	-66.75	194.735	geotraces
S0054	35.25	-66.75	222.71	geotraces
S0055	35.25	-66.75	299.93	geotraces
tara_S0005	35.75	14.25	55	tara
tara_S0006	35.75	14.25	55	tara
tara_S0007	35.75	14.25	5	tara
tara_S0008	35.75	14.25	5	tara
tara_S0191	35.75	-37.25	35	tara
tara_S0192	35.75	-37.25	5	tara
tara_S0194	36.25	-29.25	5	tara
tara_S0193	36.25	-28.75	75.005	tara
S0015	36.25	-53.25	5	geotraces
S0016	36.25	-53.25	45	geotraces
S0017	36.25	-53.25	75.005	geotraces
S0018	36.25	-53.25	105.31	geotraces
S0019	36.25	-53.25	154.47	geotraces
S0020	36.25	-53.25	194.735	geotraces
tara_S0003	36.75	-6.75	5	tara
tara_S0004	36.75	-6.75	5	tara
tara_S0001	36.75	-6.75	35	tara
tara_S0002	36.75	-6.75	35	tara
S0021	37.75	-50.75	5	geotraces
S0022	37.75	-50.75	55	geotraces
S0023	37.75	-50.75	75.005	geotraces
S0024	37.75	-50.75	105.31	geotraces
S0025	37.75	-50.75	154.47	geotraces
S0026	37.75	-50.75	194.735	geotraces
S0130	37.75	-68.25	35	geotraces
S0131	37.75	-68.25	65	geotraces
S0132	37.75	-68.25	85.025	geotraces
S0133	37.75	-68.25	115.87	geotraces
S0134	37.75	-68.25	139.74	geotraces
S0135	37.75	-68.25	154.47	geotraces
S0136	37.75	-68.25	222.71	geotraces
S0137	37.75	-68.25	299.93	geotraces
S0122	38.25	-68.75	35	geotraces
S0123	38.25	-68.75	65	geotraces
S0124	38.25	-68.75	95.095	geotraces
S0125	38.25	-68.75	115.87	geotraces
S0126	38.25	-68.75	139.74	geotraces
S0127	38.25	-68.75	194.735	geotraces
S0128	38.25	-68.75	222.71	geotraces
S0129	38.25	-68.75	299.93	geotraces
S0064	38.75	-69.25	25	geotraces
S0065	38.75	-69.25	65	geotraces
S0066	38.75	-69.25	85.025	geotraces
S0067	38.75	-69.25	105.31	geotraces
S0068	38.75	-69.25	139.74	geotraces
S0069	38.75	-69.25	194.735	geotraces
S0070	38.75	-69.25	222.71	geotraces
S0071	38.75	-69.25	299.93	geotraces
tara_S0186	39.25	-70.25	5	tara
tara_S0242	39.25	-70.25	299.93	tara
tara_S0015	39.25	19.25	5	tara
tara_S0016	39.25	19.25	5	tara
tara_S0013	39.25	19.25	45	tara
tara_S0014	39.25	19.25	45	tara
S0114	39.75	-69.75	35	geotraces
S0115	39.75	-69.75	55	geotraces
S0116	39.75	-69.75	85.025	geotraces
S0117	39.75	-69.75	105.31	geotraces
S0118	39.75	-69.75	139.74	geotraces
S0119	39.75	-69.75	194.735	geotraces
S0120	39.75	-69.75	299.93	geotraces
tara_S0009	42.25	17.75	55	tara
tara_S0010	42.25	17.75	55	tara
tara_S0011	42.25	17.75	5	tara
tara_S0012	42.25	17.75	5	tara
tara_S0196	43.75	-16.75	5	tara
tara_S0245	43.75	-16.75	299.93	tara
tara_S0195	43.75	-16.75	85.025	tara
S0008	46.25	-39.75	5	geotraces
S0009	46.25	-39.75	45	geotraces
S0010	46.25	-39.75	75.005	geotraces
S0011	46.25	-39.75	95.095	geotraces
S0012	46.25	-39.75	154.47	geotraces
S0013	46.25	-39.75	194.735	geotraces
S0157	47.75	-39.25	5	geotraces
S0158	47.75	-39.25	45	geotraces
S0159	47.75	-39.25	75.005	geotraces
S0160	47.75	-39.25	105.31	geotraces
S0161	47.75	-39.25	154.47	geotraces
S0162	47.75	-39.25	194.735	geotraces
S0001	49.75	-42.25	5	geotraces
S0002	49.75	-42.25	45	geotraces
S0003	49.75	-42.25	75.005	geotraces
S0004	49.75	-42.25	105.31	geotraces
S0005	49.75	-42.25	154.47	geotraces
S0006	49.75	-42.25	194.735	geotraces
