sampleID	lat	lon	depth	sample_category
S0380	-32.75	-162.75	35	geotraces
S0381	-32.75	-162.75	45	geotraces
S0382	-32.75	-162.75	75.005	geotraces
S0383	-32.75	-162.75	105.31	geotraces
S0337	-32.75	-163.75	15	geotraces
S0338	-32.75	-163.75	35	geotraces
S0339	-32.75	-163.75	55	geotraces
S0340	-32.75	-163.75	75.005	geotraces
S0341	-32.75	-163.75	105.31	geotraces
S0345	-32.75	-156.25	15	geotraces
S0346	-32.75	-156.25	35	geotraces
S0347	-32.75	-156.25	55	geotraces
S0348	-32.75	-156.25	75.005	geotraces
S0349	-32.75	-156.25	105.31	geotraces
S0355	-32.75	-153.75	15	geotraces
S0356	-32.75	-153.75	35	geotraces
S0357	-32.75	-153.75	55	geotraces
S0358	-32.75	-153.75	75.005	geotraces
S0359	-32.75	-153.75	95.095	geotraces
S0360	-32.75	-153.75	194.735	geotraces
S0316	-32.75	-170.25	15	geotraces
S0317	-32.75	-170.25	25	geotraces
S0318	-32.75	-170.25	45	geotraces
S0319	-32.75	-170.25	75.005	geotraces
S0320	-32.75	-170.25	105.31	geotraces
S0321	-32.75	-170.25	299.93	geotraces
S0322	-32.75	-171.75	15	geotraces
S0323	-32.75	-171.75	35	geotraces
S0324	-32.75	-171.75	45	geotraces
S0325	-32.75	-171.75	75.005	geotraces
S0326	-32.75	-171.75	105.31	geotraces
S0420	-32.25	-179.25	15	geotraces
S0421	-32.25	-179.25	25	geotraces
S0422	-32.25	-179.25	55	geotraces
S0423	-32.25	-179.25	75.005	geotraces
S0424	-32.25	-179.25	95.095	geotraces
S0425	-32.25	-179.25	299.93	geotraces
S0283	-32.25	-176.25	15	geotraces
S0284	-32.25	-176.25	25	geotraces
S0285	-32.25	-176.25	45	geotraces
S0286	-32.25	-176.25	75.005	geotraces
S0287	-32.25	-176.25	105.31	geotraces
S0288	-32.25	-176.25	299.93	geotraces
S0350	-32.25	-154.75	15	geotraces
S0351	-32.25	-154.75	25	geotraces
S0352	-32.25	-154.75	55	geotraces
S0353	-32.25	-154.75	75.005	geotraces
S0354	-32.25	-154.75	105.31	geotraces
S0439	-32.25	-169.25	15	geotraces
S0440	-32.25	-169.25	35	geotraces
S0441	-32.25	-169.25	55	geotraces
S0442	-32.25	-169.25	75.005	geotraces
S0443	-32.25	-169.25	105.31	geotraces
S0372	-32.25	-165.75	15	geotraces
S0373	-32.25	-165.75	25	geotraces
S0374	-32.25	-165.75	45	geotraces
S0375	-32.25	-165.75	75.005	geotraces
S0376	-32.25	-165.75	105.31	geotraces
S0389	-32.25	-160.75	15	geotraces
S0390	-32.25	-160.75	25	geotraces
S0391	-32.25	-160.75	45	geotraces
S0392	-32.25	-160.75	75.005	geotraces
S0393	-32.25	-160.75	95.095	geotraces
S0367	-32.25	-167.25	15	geotraces
S0368	-32.25	-167.25	35	geotraces
S0369	-32.25	-167.25	55	geotraces
S0370	-32.25	-167.25	75.005	geotraces
S0371	-32.25	-167.25	105.31	geotraces
S0426	-32.25	-170.75	15	geotraces
S0427	-32.25	-170.75	35	geotraces
S0428	-32.25	-170.75	55	geotraces
S0429	-32.25	-170.75	75.005	geotraces
S0430	-32.25	-170.75	105.31	geotraces
S0377	-32.25	-164.75	15	geotraces
S0378	-32.25	-164.75	25	geotraces
S0331	-32.25	-164.75	45	geotraces
S0332	-32.25	-164.75	75.005	geotraces
S0333	-32.25	-164.75	95.095	geotraces
S0334	-32.25	-164.75	194.735	geotraces
S0411	-32.25	-151.25	15	geotraces
S0412	-32.25	-151.25	25	geotraces
S0413	-32.25	-151.25	45	geotraces
S0414	-32.25	-151.25	75.005	geotraces
S0444	-32.25	-168.25	15	geotraces
S0445	-32.25	-168.25	25	geotraces
S0446	-32.25	-168.25	45	geotraces
S0365	-32.25	-168.25	75.005	geotraces
S0366	-32.25	-168.25	105.31	geotraces
S0253	-32.25	-157.75	15	geotraces
S0254	-32.25	-157.75	35	geotraces
S0255	-32.25	-157.75	55	geotraces
S0256	-32.25	-157.75	75.005	geotraces
S0257	-32.25	-157.75	95.095	geotraces
S0258	-32.25	-157.75	194.735	geotraces
S0361	-32.25	-154.25	299.93	geotraces
S0362	-32.25	-154.25	299.93	geotraces
S0261	-32.25	-157.25	15	geotraces
S0262	-32.25	-157.25	25	geotraces
S0342	-32.25	-157.25	45	geotraces
S0343	-32.25	-157.25	75.005	geotraces
S0344	-32.25	-157.25	105.31	geotraces
S0363	-32.25	-153.25	15	geotraces
S0403	-32.25	-153.25	55	geotraces
S0404	-32.25	-153.25	75.005	geotraces
S0405	-32.25	-153.25	105.31	geotraces
S0431	-32.25	-169.75	15	geotraces
S0432	-32.25	-169.75	35	geotraces
S0433	-32.25	-169.75	55	geotraces
S0434	-32.25	-169.75	75.005	geotraces
S0435	-32.25	-169.75	105.31	geotraces
S0436	-32.25	-169.75	194.735	geotraces
S0406	-32.25	-151.75	15	geotraces
S0407	-32.25	-151.75	25	geotraces
S0408	-32.25	-151.75	55	geotraces
S0409	-32.25	-151.75	75.005	geotraces
S0410	-32.25	-151.75	105.31	geotraces
S0437	-32.25	-169.75	299.93	geotraces
S0438	-32.25	-169.75	299.93	geotraces
S0399	-32.25	-159.25	15	geotraces
S0400	-32.25	-159.25	35	geotraces
S0401	-32.25	-159.25	45	geotraces
S0402	-32.25	-159.25	75.005	geotraces
S0252	-32.25	-159.25	105.31	geotraces
tara_S0084	-32.25	17.75	5	tara
tara_S0085	-32.25	17.75	5	tara
S0179	-32.25	-37.25	5	geotraces
S0180	-32.25	-37.25	154.47	geotraces
S0415	-31.75	177.75	15	geotraces
S0416	-31.75	177.75	25	geotraces
S0417	-31.75	177.75	55	geotraces
S0418	-31.75	177.75	75.005	geotraces
S0419	-31.75	177.75	95.095	geotraces
tara_S0086	-31.25	4.75	45	tara
tara_S0087	-31.25	4.75	45	tara
tara_S0088	-31.25	4.75	45	tara
tara_S0089	-31.25	4.75	5	tara
tara_S0090	-31.25	4.75	5	tara
tara_S0091	-31.25	4.75	5	tara
tara_S0205	-31.25	4.75	299.93	tara
tara_S0206	-31.25	4.75	299.93	tara
tara_S0102	-30.25	-43.25	115.87	tara
tara_S0103	-30.25	-43.25	115.87	tara
tara_S0213	-30.25	-43.25	299.93	tara
tara_S0214	-30.25	-43.25	299.93	tara
tara_S0104	-30.25	-43.25	5	tara
tara_S0105	-30.25	-43.25	5	tara
S0301	-30.25	154.25	15	geotraces
S0302	-30.25	154.25	35	geotraces
S0303	-30.25	154.25	55	geotraces
S0304	-30.25	154.25	75.005	geotraces
S0305	-30.25	154.25	95.095	geotraces
S0291	-30.25	174.25	15	geotraces
S0292	-30.25	174.25	35	geotraces
S0293	-30.25	174.25	55	geotraces
S0309	-30.25	174.25	75.005	geotraces
S0310	-30.25	174.25	105.31	geotraces
S0306	-30.25	155.75	15	geotraces
S0307	-30.25	155.75	35	geotraces
S0308	-30.25	155.75	55	geotraces
S0289	-30.25	155.75	75.005	geotraces
S0290	-30.25	155.75	105.31	geotraces
S0268	-30.25	162.75	15	geotraces
S0269	-30.25	162.75	25	geotraces
S0270	-30.25	162.75	55	geotraces
S0271	-30.25	162.75	75.005	geotraces
S0272	-30.25	162.75	105.31	geotraces
S0311	-30.25	175.75	15	geotraces
S0312	-30.25	175.75	35	geotraces
S0313	-30.25	175.75	55	geotraces
S0314	-30.25	175.75	75.005	geotraces
S0315	-30.25	175.75	95.095	geotraces
S0273	-30.25	166.75	15	geotraces
S0274	-30.25	166.75	35	geotraces
S0275	-30.25	166.75	55	geotraces
S0276	-30.25	166.75	75.005	geotraces
S0277	-30.25	166.75	105.31	geotraces
S0263	-30.25	159.25	15	geotraces
S0264	-30.25	159.25	25	geotraces
S0265	-30.25	159.25	55	geotraces
S0266	-30.25	159.25	75.005	geotraces
S0267	-30.25	159.25	105.31	geotraces
S0278	-29.75	170.75	15	geotraces
S0279	-29.75	170.75	35	geotraces
S0280	-29.75	170.75	55	geotraces
S0281	-29.75	170.75	75.005	geotraces
S0282	-29.75	170.75	105.31	geotraces
S0299	-29.75	153.75	15	geotraces
S0300	-29.75	153.75	45	geotraces
tara_S0119	-29.75	-101.25	5	tara
tara_S0068	-29.75	37.75	65	tara
tara_S0069	-29.75	37.75	65	tara
tara_S0070	-29.75	37.75	65	tara
tara_S0201	-29.75	37.75	299.93	tara
tara_S0202	-29.75	37.75	299.93	tara
tara_S0071	-29.75	37.75	5	tara
tara_S0072	-29.75	37.75	5	tara
tara_S0073	-29.75	37.75	5	tara
S0181	-29.25	-35.75	15	geotraces
S0182	-29.25	-35.75	45	geotraces
S0183	-29.25	-35.75	154.47	geotraces
S0184	-26.25	-34.25	5	geotraces
S0185	-26.25	-34.25	45	geotraces
S0186	-26.25	-34.25	154.47	geotraces
tara_S0120	-25.75	-111.75	194.735	tara
tara_S0121	-25.75	-111.75	194.735	tara
tara_S0217	-25.75	-111.75	299.93	tara
tara_S0218	-25.75	-111.75	299.93	tara
tara_S0122	-25.75	-111.75	5	tara
tara_S0123	-25.75	-111.75	5	tara
tara_S0148	-23.25	-129.25	5	tara
tara_S0226	-23.25	-129.75	299.93	tara
tara_S0147	-23.25	-129.25	154.47	tara
S0187	-22.25	-32.75	5	geotraces
S0188	-22.25	-32.75	45	geotraces
S0189	-22.25	-32.75	154.47	geotraces
tara_S0067	-22.25	40.25	5	tara
tara_S0124	-21.25	-104.75	5	tara
tara_S0098	-21.25	-35.25	154.47	tara
tara_S0099	-21.25	-35.25	154.47	tara
tara_S0100	-20.75	-35.25	5	tara
tara_S0101	-20.75	-35.25	5	tara
tara_S0211	-20.75	-35.25	299.93	tara
tara_S0212	-20.75	-35.25	299.93	tara
tara_S0092	-20.25	-3.25	5	tara
tara_S0093	-20.25	-3.25	5	tara
tara_S0207	-20.25	-3.25	299.93	tara
tara_S0208	-20.25	-3.25	299.93	tara
tara_S0066	-17.25	42.25	65	tara
tara_S0065	-17.25	42.75	5	tara
S0190	-17.25	-30.75	45	geotraces
S0195	-17.25	-30.75	139.74	geotraces
tara_S0146	-16.75	-100.75	5	tara
tara_S0145	-16.75	-100.75	95.095	tara
tara_S0062	-16.75	53.75	5	tara
tara_S0063	-16.75	53.75	5	tara
tara_S0060	-16.75	53.75	75.005	tara
tara_S0061	-16.75	53.75	75.005	tara
tara_S0225	-16.75	-100.75	299.93	tara
tara_S0064	-15.25	43.25	5	tara
tara_S0200	-15.25	43.25	299.93	tara
tara_S0130	-13.25	-95.75	5	tara
tara_S0131	-13.25	-95.75	5	tara
tara_S0132	-13.25	-95.75	5	tara
tara_S0127	-12.75	-96.25	172.4	tara
tara_S0128	-12.75	-96.25	172.4	tara
tara_S0129	-12.75	-96.25	172.4	tara
tara_S0125	-12.75	-96.25	45	tara
tara_S0126	-12.75	-96.25	45	tara
S0191	-12.75	-29.25	5	geotraces
S0192	-12.75	-29.25	45	geotraces
S0193	-12.75	-29.25	154.47	geotraces
tara_S0058	-9.25	66.25	5	tara
tara_S0059	-9.25	66.25	5	tara
S0196	-9.25	-28.25	5	geotraces
S0197	-9.25	-28.25	45	geotraces
S0198	-9.25	-28.25	139.74	geotraces
tara_S0160	-9.25	-140.75	5	tara
tara_S0161	-9.25	-140.75	5	tara
tara_S0162	-9.25	-140.75	5	tara
tara_S0163	-9.25	-140.75	5	tara
tara_S0156	-9.25	-140.75	115.87	tara
tara_S0157	-9.25	-140.75	115.87	tara
tara_S0158	-9.25	-140.75	115.87	tara
tara_S0159	-9.25	-140.75	115.87	tara
tara_S0149	-9.25	-139.25	115.87	tara
tara_S0150	-8.75	-139.25	5	tara
tara_S0227	-8.75	-139.25	299.93	tara
tara_S0228	-8.75	-139.25	299.93	tara
tara_S0229	-8.75	-139.25	299.93	tara
tara_S0230	-8.75	-139.25	299.93	tara
tara_S0165	-8.75	-142.75	5	tara
tara_S0166	-8.75	-142.75	5	tara
tara_S0167	-8.75	-142.75	5	tara
tara_S0168	-8.75	-142.75	5	tara
tara_S0151	-8.75	-140.25	154.47	tara
tara_S0152	-8.75	-140.25	154.47	tara
tara_S0153	-8.75	-140.25	154.47	tara
tara_S0154	-8.75	-140.25	154.47	tara
tara_S0155	-8.75	-140.25	5	tara
tara_S0164	-8.75	-142.75	139.74	tara
tara_S0209	-8.75	-17.75	299.93	tara
tara_S0210	-8.75	-17.75	299.93	tara
tara_S0096	-8.75	-17.75	5	tara
tara_S0097	-8.75	-17.75	5	tara
tara_S0094	-8.75	-17.75	95.095	tara
tara_S0095	-8.75	-17.75	95.095	tara
S0199	-5.75	-28.25	5	geotraces
S0200	-5.75	-28.25	45	geotraces
S0201	-5.75	-28.25	154.47	geotraces
tara_S0133	-5.25	-85.25	35	tara
tara_S0134	-5.25	-85.25	35	tara
tara_S0135	-5.25	-85.25	35	tara
tara_S0219	-5.25	-85.25	299.93	tara
tara_S0220	-5.25	-85.25	299.93	tara
tara_S0221	-5.25	-85.25	299.93	tara
tara_S0136	-5.25	-85.25	5	tara
tara_S0137	-5.25	-85.25	5	tara
S0202	-2.75	-28.75	5	geotraces
S0203	-2.75	-28.75	65	geotraces
S0204	-2.75	-28.75	154.47	geotraces
tara_S0144	-2.25	-84.75	5	tara
tara_S0143	-1.75	-84.75	45	tara
tara_S0224	-1.75	-84.75	299.93	tara
S0205	-0.25	-32.75	5	geotraces
S0206	-0.25	-32.75	65	geotraces
S0207	-0.25	-32.75	154.47	geotraces
tara_S0170	0.25	-153.75	5	tara
tara_S0056	0.25	71.75	5	tara
tara_S0057	0.25	71.75	5	tara
tara_S0169	0.25	-153.75	35	tara
tara_S0141	1.75	-84.75	5	tara
tara_S0142	1.75	-84.75	5	tara
tara_S0138	2.25	-84.75	25	tara
tara_S0139	2.25	-84.75	25	tara
tara_S0140	2.25	-84.75	25	tara
tara_S0222	2.25	-84.75	299.93	tara
tara_S0223	2.25	-84.75	299.93	tara
tara_S0052	5.75	73.75	75.005	tara
tara_S0053	5.75	73.75	75.005	tara
tara_S0054	6.25	73.75	5	tara
tara_S0055	6.25	73.75	5	tara
tara_S0181	6.25	-102.75	5	tara
tara_S0180	6.25	-102.75	55	tara
tara_S0237	6.25	-103.25	299.93	tara
tara_S0238	6.25	-103.25	299.93	tara
tara_S0239	6.25	-103.25	299.93	tara
tara_S0240	6.25	-103.25	299.93	tara
tara_S0182	7.25	-79.25	5	tara
S0039	9.75	-50.25	5	geotraces
S0040	9.75	-50.25	75.005	geotraces
S0041	9.75	-50.25	95.095	geotraces
S0042	9.75	-50.25	154.47	geotraces
S0043	9.75	-50.25	194.735	geotraces
tara_S0183	9.75	-80.25	5	tara
S0033	13.25	-53.25	5	geotraces
S0034	13.25	-53.25	75.005	geotraces
S0035	13.25	-53.25	95.095	geotraces
S0036	13.25	-53.25	154.47	geotraces
S0037	13.25	-53.25	194.735	geotraces
tara_S0233	14.25	-116.75	299.93	tara
tara_S0234	14.25	-116.75	299.93	tara
tara_S0235	14.25	-116.75	299.93	tara
tara_S0236	14.25	-116.75	299.93	tara
tara_S0179	14.25	-116.75	5	tara
tara_S0175	14.25	-116.75	35	tara
tara_S0176	14.25	-116.75	35	tara
tara_S0177	14.25	-116.75	35	tara
tara_S0178	14.25	-116.75	35	tara
tara_S0048	14.75	70.25	55	tara
tara_S0049	14.75	70.25	55	tara
tara_S0050	14.75	69.75	5	tara
tara_S0051	14.75	69.75	5	tara
S0044	16.75	-56.25	5	geotraces
S0045	16.75	-56.25	75.005	geotraces
S0046	16.75	-56.25	105.31	geotraces
S0047	16.75	-56.25	154.47	geotraces
S0048	16.75	-56.25	194.735	geotraces
S0243	17.25	-20.75	5	geotraces
S0238	17.25	-20.75	55	geotraces
S0239	17.25	-20.75	85.025	geotraces
S0240	17.25	-20.75	105.31	geotraces
S0241	17.25	-20.75	139.74	geotraces
S0242	17.25	-20.75	194.735	geotraces
S0098	17.25	-24.25	45	geotraces
S0099	17.25	-24.25	75.005	geotraces
S0100	17.25	-24.25	85.025	geotraces
S0101	17.25	-24.25	139.74	geotraces
S0102	17.25	-24.25	194.735	geotraces
S0103	17.25	-24.25	222.71	geotraces
S0104	17.25	-24.25	299.93	geotraces
S0250	17.25	-24.25	5	geotraces
S0244	17.25	-24.25	35	geotraces
S0245	17.25	-24.25	55	geotraces
S0246	17.25	-24.25	75.005	geotraces
S0247	17.25	-24.25	95.095	geotraces
S0248	17.25	-24.25	139.74	geotraces
S0249	17.25	-24.25	194.735	geotraces
tara_S0034	18.25	39.75	5	tara
tara_S0035	18.25	39.75	5	tara
tara_S0032	18.25	39.75	55	tara
tara_S0033	18.25	39.75	55	tara
tara_S0044	18.75	66.25	25	tara
tara_S0045	18.75	66.25	25	tara
tara_S0046	18.75	66.25	257.47	tara
tara_S0047	18.75	66.25	257.47	tara
tara_S0040	19.25	64.75	25	tara
tara_S0041	19.25	64.75	25	tara
tara_S0198	19.25	64.75	299.93	tara
tara_S0199	19.25	64.75	299.93	tara
tara_S0042	19.25	64.25	5	tara
tara_S0043	19.25	64.25	5	tara
S0138	19.25	-29.25	45	geotraces
S0139	19.25	-29.25	75.005	geotraces
S0140	19.25	-29.25	85.025	geotraces
S0141	19.25	-29.25	127.15	geotraces
S0142	19.25	-29.25	194.735	geotraces
S0143	19.25	-29.25	222.71	geotraces
S0144	19.25	-29.25	299.93	geotraces
S0145	19.25	-29.25	299.93	geotraces
tara_S0038	20.75	63.75	5	tara
tara_S0039	20.75	63.75	5	tara
tara_S0036	20.75	63.75	15	tara
tara_S0037	20.75	63.75	15	tara
tara_S0197	20.75	63.75	299.93	tara
tara_S0030	21.75	38.25	5	tara
tara_S0031	21.75	38.25	5	tara
S0072	22.25	-35.75	35	geotraces
S0073	22.25	-35.75	75.005	geotraces
S0074	22.25	-35.75	95.095	geotraces
S0075	22.25	-35.75	139.74	geotraces
S0076	22.25	-35.75	194.735	geotraces
S0077	22.25	-35.75	222.71	geotraces
S0078	22.25	-35.75	299.93	geotraces
S0079	22.25	-35.75	299.93	geotraces
S0080	22.25	-35.75	299.93	geotraces
S0081	22.25	-35.75	299.93	geotraces
S0152	22.25	-63.75	15	geotraces
S0153	22.25	-63.75	75.005	geotraces
S0154	22.25	-63.75	95.095	geotraces
S0155	22.25	-63.75	127.15	geotraces
S0156	22.25	-63.75	194.735	geotraces
tara_S0027	23.25	37.25	5	tara
tara_S0028	23.25	37.25	5	tara
tara_S0029	23.25	37.25	5	tara
tara_S0025	23.25	37.25	75.005	tara
tara_S0026	23.25	37.25	75.005	tara
S0237	24.25	-22.25	5	geotraces
S0231	24.25	-22.25	35	geotraces
S0232	24.25	-22.25	55	geotraces
S0233	24.25	-22.25	75.005	geotraces
S0234	24.25	-22.25	154.47	geotraces
S0235	24.25	-22.25	194.735	geotraces
S0236	24.25	-22.25	299.93	geotraces
S0057	24.25	-40.25	35	geotraces
S0058	24.25	-40.25	65	geotraces
S0059	24.25	-40.25	75.005	geotraces
S0060	24.25	-40.25	115.87	geotraces
S0061	24.25	-40.25	194.735	geotraces
S0062	24.25	-40.25	222.71	geotraces
S0063	24.25	-40.25	299.93	geotraces
S0147	24.75	-67.25	15	geotraces
S0148	24.75	-67.25	75.005	geotraces
S0149	24.75	-67.25	115.87	geotraces
S0150	24.75	-67.25	154.47	geotraces
S0151	24.75	-67.25	194.735	geotraces
tara_S0185	25.75	-88.25	5	tara
tara_S0184	25.75	-88.25	127.15	tara
tara_S0241	25.75	-88.25	299.93	tara
S0090	26.25	-44.75	35	geotraces
S0091	26.25	-44.75	65	geotraces
S0092	26.25	-44.75	85.025	geotraces
S0093	26.25	-44.75	115.87	geotraces
S0094	26.25	-44.75	139.74	geotraces
S0095	26.25	-44.75	194.735	geotraces
S0096	26.25	-44.75	222.71	geotraces
S0097	26.25	-44.75	299.93	geotraces
tara_S0023	27.25	34.75	5	tara
tara_S0024	27.25	34.75	5	tara
S0105	27.75	-49.75	45	geotraces
S0106	27.75	-49.75	65	geotraces
S0107	27.75	-49.75	95.095	geotraces
S0108	27.75	-49.75	115.87	geotraces
S0109	27.75	-49.75	139.74	geotraces
S0110	27.75	-49.75	194.735	geotraces
S0111	27.75	-49.75	222.71	geotraces
S0112	27.75	-49.75	299.93	geotraces
S0168	28.25	-67.75	5	geotraces
S0169	28.25	-67.75	75.005	geotraces
S0170	28.25	-67.75	85.025	geotraces
S0171	28.25	-67.75	154.47	geotraces
S0172	28.25	-67.75	194.735	geotraces
tara_S0171	31.75	-159.25	115.87	tara
tara_S0172	31.75	-158.75	5	tara
tara_S0231	31.75	-159.25	299.93	tara
S0163	31.75	-64.25	5	geotraces
S0164	31.75	-64.25	75.005	geotraces
S0165	31.75	-64.25	95.095	geotraces
S0166	31.75	-64.25	154.47	geotraces
S0167	31.75	-64.25	194.735	geotraces
tara_S0189	31.75	-64.25	5	tara
S0082	31.75	-64.25	45	geotraces
S0083	31.75	-64.25	75.005	geotraces
S0084	31.75	-64.25	85.025	geotraces
S0085	31.75	-64.25	105.31	geotraces
S0086	31.75	-64.25	172.4	geotraces
S0087	31.75	-64.25	222.71	geotraces
S0088	31.75	-64.25	299.93	geotraces
S0089	31.75	-64.25	299.93	geotraces
S0294	33.25	-58.25	5	geotraces
S0295	33.25	-58.25	55	geotraces
S0296	33.25	-58.25	75.005	geotraces
S0297	33.25	-58.25	154.47	geotraces
S0298	33.25	-58.25	194.735	geotraces
tara_S0021	33.75	32.75	5	tara
tara_S0022	33.75	32.75	5	tara
tara_S0017	33.75	32.75	75.005	tara
tara_S0018	33.75	32.75	75.005	tara
tara_S0019	33.75	32.75	75.005	tara
tara_S0020	33.75	32.75	75.005	tara
