S0197	-9.1608	-28.0012
S0198	-9.1608	-28.0012
S0199	-5.6667	-28.4572
S0200	-5.6667	-28.4572
S0201	-5.6667	-28.4572
S0202	-2.6505	-28.9172
S0203	-2.6505	-28.9172
S0204	-2.6505	-28.9172
S0205	-0.1915	-32.8745
S0206	-0.1915	-32.8745
S0207	-0.1915	-32.8745
S0209	-49.5475	-52.6885
S0210	-49.5475	-52.6885
S0211	-48.9358	-48.7933
S0212	-48.9358	-48.7933
S0213	-48.9358	-48.7933
S0214	-46.907	-47.179
S0215	-46.907	-47.179
S0216	-46.907	-47.179
S0217	-44.7117	-45.5265
S0218	-44.7117	-45.5265
S0219	-44.7117	-45.5265
S0220	-42.364	-44.0318
S0221	-42.364	-44.0318
S0222	-42.364	-44.0318
S0223	-39.9648	-42.4232
S0224	-39.9648	-42.4232
S0225	-39.9648	-42.4232
S0226	-37.8305	-41.1248
S0227	-37.8305	-41.1248
S0228	-37.8305	-41.1248
S0229	-35.0093	-39.431
S0231	24.00011	-22.00011
S0232	24.00011	-22.00011
S0233	24.00011	-22.00011
S0234	24.00011	-22.00011
S0235	24.00011	-22.00011
S0236	24.00011	-22.00011
S0237	24.00011	-22.00011
S0238	17.35162	-20.81672
S0239	17.35162	-20.81672
S0240	17.35162	-20.81672
S0241	17.35162	-20.81672
S0242	17.35162	-20.81672
S0243	17.35162	-20.81672
S0244	17.4018	-24.49811
S0245	17.4018	-24.49811
S0246	17.4018	-24.49811
S0247	17.4018	-24.49811
S0248	17.4018	-24.49811
S0249	17.4018	-24.49811
S0250	17.4018	-24.49811
S0252	-32.46367	-159.01933
S0253	-32.495	-157.9945
S0254	-32.495	-157.9945
S0255	-32.495	-157.9945
S0256	-32.495	-157.9945
S0257	-32.495	-157.9945
S0258	-32.495	-157.9945
S0259	-32.5125	-158.028
S0260	-32.5125	-158.028
S0261	-32.494	-157.00883
S0262	-32.494	-157.00883
S0263	-29.9999	159
S0264	-29.9999	159
S0265	-29.9999	159
S0266	-29.9999	159
S0267	-29.9999	159
S0268	-30.0006	162.998
S0269	-30.0006	162.998
S0270	-30.0006	162.998
S0271	-30.0006	162.998
S0272	-30.0006	162.998
S0273	-30	166.987
S0274	-30	166.987
S0275	-30	166.987
S0276	-30	166.987
S0277	-30	166.987
S0278	-29.9997	171
S0279	-29.9997	171
S0280	-29.9997	171
S0281	-29.9997	171
S0282	-29.9997	171
S0283	-32.4995	-176.03
S0284	-32.4995	-176.03
S0285	-32.4995	-176.03
S0286	-32.4995	-176.03
S0287	-32.4995	-176.03
S0288	-32.4995	-176.03
S0289	-30.0006	155.98599
S0290	-30.0006	155.98599
S0291	-30.0013	174.00101
S0292	-30.0013	174.00101
S0293	-30.0013	174.00101
S0294	33.4334	-58.0503
S0295	33.4334	-58.0503
S0296	33.4334	-58.0503
S0297	33.4334	-58.0503
S0298	33.4334	-58.0503
S0299	-29.9982	153.50101
S0300	-29.9982	153.50101
S0301	-30.0019	154.004
S0302	-30.0019	154.004
S0303	-30.0019	154.004
S0304	-30.0019	154.004
S0305	-30.0019	154.004
S0306	-30.0006	155.98599
S0307	-30.0006	155.98599
S0308	-30.0006	155.98599
S0309	-30.0013	174.00101
S0310	-30.0013	174.00101
S0311	-30.0002	175.98
S0312	-30.0002	175.98
S0313	-30.0002	175.98
S0314	-30.0002	175.98
S0315	-30.0002	175.98
S0316	-32.5001	-170
S0317	-32.5001	-170
S0318	-32.5001	-170
S0319	-32.5001	-170
S0320	-32.5001	-170
S0321	-32.5001	-170
S0322	-32.4998	-171.99899
S0323	-32.4998	-171.99899
S0324	-32.4998	-171.99899
S0325	-32.4998	-171.99899
S0326	-32.4998	-171.99899
S0331	-32.49567	-164.99233
S0332	-32.49567	-164.99233
S0333	-32.49567	-164.99233
S0334	-32.49567	-164.99233
S0335	-32.515	-164.98117
S0336	-32.515	-164.98117
