sampleID	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_LLI	pro_LLII_LLIII	pro_LLIV	pro_LLVII	pro	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pel_Ia	pel_Ib	pel_Ic	pel_IIa	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	sar11	bacteria	archaea	eukaryotes	viruses
tara_S0128	0.011060785486686769	0.025939739473330812	0.01768077547582132	0.024697537571266373	0.029983762864572525	0.6431156987462001	0.2057843268913821	0.011067554325662154	0.3115952776459421	0.17757771713336498	0.17507119126720455	0.1285892263882297	0.08289333175130517	0.012933080208827717	0.14593973327077167	0.30756424601169424	0.17055894932505594	0.1370761297191944	0.1403509167689309	0.0069727676315599505	0.003499242041435068	0.0020782953150942033	0.036981610481484156	0.14974187112685508	0.9235971436438123	0.066213966749303	0.0013184024286438754	3.6491676752856226e-4
tara_S0129	0.01037732914424363	0.024661710268454286	0.01107412822347342	0.024387967773042585	0.03044140977385137	0.6538028431891001	0.20543752138613244	0.011065944381469578	0.31001483904182187	0.17364707307471003	0.17652403016262377	0.1290996638502771	0.08361345810241967	0.012810029980921232	0.14494951568269987	0.308100815623548	0.17056347252985116	0.13744311067737247	0.14048607132927418	0.007002121628858631	0.0035243856699551605	0.001992875656128186	0.03691298336098106	0.1475805316210901	0.9237553781549921	0.06603691034784731	0.0013349906834297233	3.947623422611538e-4
tara_S0130	0.02743449949273421	0.06801748314454042	0.8090616292456899	0.017775591118397428	0.004341971545808101	0.001968423510812567	0.004313156956508463	0.1325796233746144	0.21417888124439127	0.17020640143583607	0.24788114468042677	0.12762987336723502	0.07528168311895503	0.01575431249376807	0.4514516267089977	0.14890662191476908	0.001991615071429251	0.1466925874914296	0.003158398027319754	0.01595777793340648	6.101941986807874e-4	0.01140023465349702	0.182198627181936	0.26378932460831406	0.9578910588604101	0.021833796958791094	0.005749898379100323	0.008328380817144359
tara_S0131	0.027315939074694952	0.06787813979464181	0.8121899474863652	0.01509228378205851	0.004243327715661772	0.0019537023192019087	0.004223071047686417	0.13248375652977173	0.21643910546357267	0.1691666841983464	0.2514884396103759	0.12284097363936633	0.07815622830454631	0.01514737129993899	0.45161652934083557	0.14848670739054565	0.0019627993868552925	0.14688872651951593	0.0030977705153809225	0.015930913669141386	6.133497368693525e-4	0.011315658585672825	0.182587811727616	0.26408127499728246	0.9579508977290363	0.02179015898270186	0.0057519843484988495	0.008304646114193974
tara_S0132	0.02743421481421436	0.06780996530250918	0.8116839414368587	0.015096316898610115	0.00428199694770474	0.0019452366930462284	0.004207476651669944	0.13285519429892895	0.21353617233912608	0.16884126367220031	0.2532341346954639	0.12298040086613736	0.08000666259508078	0.014491144300705125	0.45139550937402084	0.14867557280408056	0.0020057505763411924	0.14651075475464634	0.0031076181128736695	0.0158939703346782	6.200935391762556e-4	0.011265657801439016	0.1824959901985366	0.26476519443455526	0.9583572994081822	0.021612094984456202	0.005500468283110589	0.008265568555160778
tara_S0133	0.06692996001798668	0.07075805478964999	0.01987109547927872	0.7414910118900303	0.007021775731231634	0.01997985213278072	0.0111001502375566	0.09242817074063421	0.20889335510614243	0.19256374827283004	0.24155256877276723	0.12755935184022107	0.07342042456977767	0.011430724783318679	0.6887399054737033	0.05821179069683729	0.0035488999242994476	0.10325576847343308	0.00847051036356144	0.004121355131224141	6.87161154065399e-4	0.015566698418992081	0.07104838012100269	0.23987088363288825	0.8978328791810619	0.053173962486300685	0.014334664344871172	0.0245327927838761
tara_S0134	0.06746366096691316	0.07102938939649879	0.019888654081466603	0.7411778864539511	0.006965019954512188	0.019745693800330328	0.010855590716947663	0.09302924995303223	0.20946776543434711	0.194352121653615	0.2409283372791841	0.12834638499362594	0.0692952103441996	0.011188763431069022	0.6894531620979569	0.058075644004841095	0.0035452754078899823	0.10352410711016548	0.008415499627482484	0.004114057952253055	6.900419808695239e-4	0.015458872943746657	0.07083095255113513	0.24267552266182132	0.8992012169042766	0.05279828808350267	0.013386986171935225	0.02454903816541464
tara_S0135	0.06852805598827011	0.07218452621597948	0.020135626025843036	0.7408708468385048	0.006898043017335815	0.019791370597601554	0.010573749097490285	0.09507854551538704	0.20983627125023524	0.19543943290885138	0.23690483658490685	0.12913242582021203	0.07195282604604479	0.010350668088576626	0.6922260664233862	0.058117832004177396	0.003549482786787485	0.10359811716550522	0.008362306828056299	0.004129787892971293	6.81031640158717e-4	0.015409531035298386	0.07064650899873816	0.2516970535423928	0.90298324406274455	0.05216465082713238	0.010011774756021701	0.02523889517149864
tara_S0136	0.06270778791015694	0.1494021107780505	0.6562130545703441	0.023822490179168782	0.005563637803527837	0.004273392194039775	0.006889880699848965	0.07747044866776187	0.2083893118375877	0.17853410956859234	0.2671294223018361	0.1206896551724138	0.0812807881773399	0.01283773697566801	0.6473856906322033	0.05293236003812189	0.0017934735124434868	0.09929811931326075	0.0037136278593392254	0.007893951929859849	5.602363063828347e-4	0.010642624758025977	0.13064725011488074	0.27768830393989613	0.9279213936235701	0.03626467208486906	0.015747258244151206	0.012012397241424149
tara_S0137	0.0626015834998065	0.14926734371568126	0.6563430288704577	0.023757935802365838	0.005655416217799207	0.004248604588732816	0.006735626653836902	0.07815939857714378	0.20159420289855073	0.18314699792960662	0.2666873706004141	0.12130434782608696	0.08182194616977226	0.013892339544513457	0.6476041902858726	0.05279405748462026	0.0017415633023114816	0.09935379214118539	0.0036875427479667986	0.007828535349969579	5.740767732575294e-4	0.010647377562607257	0.13043091973299634	0.2802009575027028	0.9290078874578342	0.03585119918474194	0.014977541731336037	0.01199701384790322
tara_S0138	0.027771972009491108	0.10352867184844722	0.7443188351475918	0.03103604905644795	0.003926040511909943	0.0033828747129321106	0.0056057251581057175	0.1130835880537673	0.20602901178603808	0.17191749773345422	0.2634859474161378	0.11344061650045331	0.09632819582955576	0.014392565729827743	0.5227804576448148	0.1690967260255595	0.0017965154599487877	0.07574120844828894	0.0033358025699503626	0.005227393361058778	5.526618176303495e-4	0.01416797419550521	0.161559527073138	0.24632905157790652	0.9138770744138077	0.03756193679293348	0.025485501409643046	0.013385718050126453
