lat	lon	section	RA	logRA
36.553	-6.567	tara_oceans	0.17733481002644488	-0.7512060059753682
35.756	14.267	tara_oceans	0.05	-1.3010299956639813
42.189	17.72	tara_oceans	0.05	-1.3010299956639813
39.394	19.395	tara_oceans	0.05	-1.3010299956639813
33.922	32.841	tara_oceans	0.05	-1.3010299956639813
27.143	34.8	tara_oceans	0.05	-1.3010299956639813
23.383	37.229	tara_oceans	0.05	-1.3010299956639813
21.947	38.252	tara_oceans	0.05	-1.3010299956639813
18.419	39.866	tara_oceans	0.05	-1.3010299956639813
20.82	63.509	tara_oceans	0.12616197780958377	-0.8990715113004625
19.034	64.523	tara_oceans	0.08101487053015483	-1.091435257708478
18.659	66.431	tara_oceans	0.05	-1.3010299956639813
14.58	69.995	tara_oceans	0.05	-1.3010299956639813
6	73.901	tara_oceans	0.05	-1.3010299956639813
0.003	71.643	tara_oceans	0.05811128831653948	-1.235739496225968
-9.392	66.423	tara_oceans	0.06415513576012852	-1.1927685716661953
-16.955	53.97	tara_oceans	0.5	-0.3010299956639812
-15.34	43.296	tara_oceans	0.09454641413086087	-1.0243549380268941
-17.025	42.74	tara_oceans	0.05	-1.3010299956639813
-17.285	42.287	tara_oceans	0.05034053907245098	-1.2980821381134948
-22.337	40.341	tara_oceans	0.05	-1.3010299956639813
-29.514	37.953	tara_oceans	0.05	-1.3010299956639813
-35.207	26.296	tara_oceans	0.05	-1.3010299956639813
-34.923	17.97	tara_oceans	0.20828286361069134	-0.6813464599872601
-31.025	4.672	tara_oceans	0.2021544925432107	-0.6943166027594627
-20.408	-3.17	tara_oceans	0.5	-0.3010299956639812
-8.769	-17.925	tara_oceans	0.4219756314597746	-0.37471262825189666
-20.965	-35.236	tara_oceans	0.05333675968681001	-1.2729733720897833
-30.144	-43.284	tara_oceans	0.05	-1.3010299956639813
-33.986	-73.08	tara_oceans	0.1482612730218148	-0.8289722751978467
-32.797	-87.069	tara_oceans	0.5	-0.3010299956639812
-29.724	-101.16	tara_oceans	0.16381960302858561	-0.7856341307944567
-25.813	-111.713	tara_oceans	0.42825113308212315	-0.36830147928910073
-21.146	-104.787	tara_oceans	0.20523105439718128	-0.6877569236142479
-12.986	-96.003	tara_oceans	0.5	-0.3010299956639812
-5.261	-85.204	tara_oceans	0.5	-0.3010299956639812
2.029	-84.561	tara_oceans	0.4466171671754607	-0.3500645874305451
-1.935	-84.61	tara_oceans	0.48919167293365823	-0.31052094417406334
-16.956	-100.66	tara_oceans	0.5	-0.3010299956639812
-23.241	-129.498	tara_oceans	0.5	-0.3010299956639812
-8.982	-139.215	tara_oceans	0.5	-0.3010299956639812
-8.91	-140.284	tara_oceans	0.4612485732839699	-0.33606496417349546
-9.111	-140.559	tara_oceans	0.5	-0.3010299956639812
-8.909	-142.555	tara_oceans	0.46651128362954825	-0.3311378473970433
0.011	-153.681	tara_oceans	0.4463904510031237	-0.35028510421610276
31.522	-159.021	tara_oceans	0.37879161397731903	-0.42159964435643604
35.346	-127.74	tara_oceans	0.4866947088853807	-0.31274337517497125
14.205	-116.643	tara_oceans	0.3805439100967535	-0.41959522374896524
6.349	-103.023	tara_oceans	0.4556478517678193	-0.3413706729436104
7.412	-79.302	tara_oceans	0.05	-1.3010299956639813
9.848	-80.045	tara_oceans	0.05	-1.3010299956639813
25.589	-88.432	tara_oceans	0.05	-1.3010299956639813
34.669	-71.3	tara_oceans	0.05	-1.3010299956639813
34.095	-49.871	tara_oceans	0.05	-1.3010299956639813
35.889	-37.228	tara_oceans	0.06829161219921287	-1.1656326345219352
36.176	-28.98	tara_oceans	0.09870942967863539	-1.005641357342704
43.722	-16.87	tara_oceans	0.1995964203142448	-0.6998472518848765
31.695	-64.249	tara_oceans	0.05	-1.3010299956639813
