sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
S0046	geotraces	GA02	PE321	1609051	636287	2010-06-24	15:06:00	16.8312	-56.2685	101	north atlantic	A	epipelagic
S0047	geotraces	GA02	PE321	1609051	636284	2010-06-24	15:06:00	16.8312	-56.2685	150	north atlantic	A	epipelagic
S0048	geotraces	GA02	PE321	1609051	636281	2010-06-24	15:06:00	16.8312	-56.2685	201	north atlantic	A	epipelagic
S0049	geotraces	GA03	KN204-1	1646368	844604	2011-11-16	13:59:00	35.41617	-66.54077	31.3	north atlantic	A	epipelagic
S0050	geotraces	GA03	KN204-1	1646368	844607	2011-11-16	13:59:00	35.41617	-66.54077	68	north atlantic	A	epipelagic
S0051	geotraces	GA03	KN204-1	1646368	844610	2011-11-16	13:59:00	35.41617	-66.54077	111.1	north atlantic	A	epipelagic
S0052	geotraces	GA03	KN204-1	1646368	844613	2011-11-16	13:59:00	35.41617	-66.54077	135.8	north atlantic	A	epipelagic
S0053	geotraces	GA03	KN204-1	1646368	844616	2011-11-16	13:59:00	35.41617	-66.54077	186.3	north atlantic	A	epipelagic
S0054	geotraces	GA03	KN204-1	1646368	844619	2011-11-16	13:59:00	35.41617	-66.54077	237.3	north atlantic	A	epipelagic
S0055	geotraces	GA03	KN204-1	1646368	844622	2011-11-16	13:59:00	35.41617	-66.54077	291.5	north atlantic	A	epipelagic
S0057	geotraces	GA03	KN204-1	1701465	846086	2011-12-01	17:25:00	24.1497	-40.21786	38.9	north atlantic	A	epipelagic
S0058	geotraces	GA03	KN204-1	1701465	846089	2011-12-01	17:25:00	24.1497	-40.21786	65.2	north atlantic	A	epipelagic
S0059	geotraces	GA03	KN204-1	1701465	846092	2011-12-01	17:25:00	24.1497	-40.21786	75.1	north atlantic	A	epipelagic
S0060	geotraces	GA03	KN204-1	1701465	846095	2011-12-01	17:25:00	24.1497	-40.21786	113.9	north atlantic	A	epipelagic
S0061	geotraces	GA03	KN204-1	1701465	846101	2011-12-01	17:25:00	24.1497	-40.21786	184	north atlantic	A	epipelagic
S0062	geotraces	GA03	KN204-1	1701465	846104	2011-12-01	17:25:00	24.1497	-40.21786	233	north atlantic	A	epipelagic
